Ensembl_ID	Gene_Name	1_CompHet_1_F508del_G1061R	2_CompHet_2_F508del_W1282X	3_CompHet_3_F508del_G542X	4_F508del_F508del_1	5_F508del_F508del_2	6_F508del_F508del_3	7_F508del_F508del_4	8_Control_1	9_Control_2	10_Control_3	11_Control_4	12_Control_5	13_Control_6	ERCC1	ERCC2
ENSG00000000003	TSPAN6	4136	4218	3240	2744	11381	124	12	3159	5152	3775	6876	2362	6757	1975	852
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ENSG00000000419	DPM1	197	1746	518	74	1	29	1342	284	361	329	982	617	497	1526	1105
ENSG00000000457	SCYL3	290	251	321	531	0	5	0	168	110	21	266	15	312	172	148
ENSG00000000460	C1orf112	0	178	4	55	0	0	0	6	80	48	0	0	0	286	326
ENSG00000000938	FGR	206	410	4016	484	77	6942	15849	7	737	816	1	116	192	162	56
ENSG00000000971	CFH	1357	680	752	2988	82	1373	1	770	464	1694	419	1190	1059	338	217
ENSG00000001036	FUCA2	182	496	680	48	0	0	3	138	392	241	103	25	528	560	631
ENSG00000001084	GCLC	867	2403	934	1283	3	2	6	2470	1643	1921	2400	589	1807	1241	728
ENSG00000001167	NFYA	1	264	25	47	0	16	88	103	37	1	93	199	43	182	263
ENSG00000001460	STPG1	1	74	5	295	49	1	0	0	76	0	399	28	113	89	65
ENSG00000001461	NIPAL3	1226	1379	842	1541	400	898	0	2016	1056	1639	1711	1148	1273	1056	1098
ENSG00000001497	LAS1L	593	495	183	7	1	1	0	253	24	29	157	100	145	707	464
ENSG00000001561	ENPP4	1383	749	266	503	3148	531	4	1414	1498	1343	1791	141	2169	182	148
ENSG00000001617	SEMA3F	6	410	227	366	0	2098	0	460	364	373	351	1149	686	198	210
ENSG00000001626	CFTR	0	0	53	35	0	0	0	40	0	90	0	231	229	39	0
ENSG00000001629	ANKIB1	763	1153	720	1024	0	4	456	474	479	851	1386	339	1175	1317	1249
ENSG00000001630	CYP51A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ENSG00000001631	KRIT1	5	322	132	521	1	1	0	137	818	195	363	130	258	338	415
